"id","author","title","year","venue"
"journals/sigmod/Gardels97","Kenn Gardels","Open GIS and On-Line Environmental Libraries","1997","SIGMOD Record"
"journals/sigmod/ZobelMR96","Kotagiri Ramamohanarao, Alistair Moffat, Justin Zobel","Guidelines for Presentation and Comparison of Indexing Techniques","1996","SIGMOD Record"
"journals/sigmod/AdelbergKG96","Brad Adelberg, Ben Kao, Hector Garcia-Molina","Overview of the STanford Real-time Information Processor (STRIP)","1996","SIGMOD Record"
"journals/sigmod/Stacey95","Doug Stacey","Replication: DB2, Oracle, or Sybase?","1995","SIGMOD Record"
"journals/sigmod/Chaudhri95","Akmal B. Chaudhri","An Annotated Bibliography of Benchmarks for Object Databases","1995","SIGMOD Record"
"journals/sigmod/SnodgrassAABCDEGJKKKLLRSSS94a","James Clifford, Ramez Elmasri, Michael D. Soo, Wolfgang K�fer, Nick Kline, Arie Segev, Suryanarayana M. Sripada, Fabio Grandi, John F. Roddick, Richard T. Snodgrass, Christian S. Jensen, Nikos A. Lorentzos, Ilsoo Ahn, Gad Ariav, Don S. Batory, T. Y. Cliff Leung, Curtis E. Dyreson, Krishna G. Kulkarni","A TSQL2 Tutorial","1994","SIGMOD Record"
"journals/sigmod/Winslett94","Marianne Winslett","Progress on HPCC and NII","1994","SIGMOD Record"
"journals/tods/ChakrabartiKMP02","Kaushik Chakrabarti, Eamonn J. Keogh, Michael J. Pazzani, Sharad Mehrotra","Locally adaptive dimensionality reduction for indexing large time series databases","2002","ACM Trans. Database Syst."
"journals/tods/GutingBEJLSV00","Michael H. B�hlen, Christian S. Jensen, Michalis Vazirgiannis, Nikos A. Lorentzos, Markus Schneider, Ralf Hartmut G�ting, Martin Erwig","A foundation for representing and quering moving objects","2000","ACM Trans. Database Syst."
"journals/tods/MehrotraRKS98","Sharad Mehrotra","Ensuring Consistency in Multidatabases by Preserving Two-Level Serializability","1998","ACM Trans. Database Syst."
"journals/tods/GhandeharizadehHJ96","Dean Jacobs, Shahram Ghandeharizadeh, Richard Hull","Heraclitus: Elevating Deltas to be First-Class Citizens in a Database Programming Language","1996","ACM Trans. Database Syst."
"journals/tods/KrishnakumarB94","Arthur J. Bernstein, Narayanan Krishnakumar","Bounded Ignorance: A Technique for Increasing Concurrency in a Replicated System","1994","ACM Trans. Database Syst."
"journals/tods/Snodgrass01","Richard T. Snodgrass","Editorial","2001","ACM Trans. Database Syst."
"conf/vldb/KahveciS01","Tamer Kahveci, Ambuj K. Singh","Efficient Index Structures for String Databases","2001","VLDB"
"conf/vldb/BrownG01","Leonard Brown, Le Gruenwald","A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space","2001","VLDB"
"conf/vldb/SakuraiYKU01","Yasushi Sakurai, Shunsuke Uemura, Masatoshi Yoshikawa, Ryoji Kataoka","Similarity Search for Adaptive Ellipsoid Queries Using Spatial Transformation","2001","VLDB"
"conf/vldb/BouguettayaEMO01","Ahmed K. Elmagarmid, Athman Bouguettaya, Mourad Ouzzani, Brahim Medjahed","Ontology-based Support for Digital Government","2001","VLDB"
"conf/vldb/ShanmugasundaramSBCLPR00","Berthold Reinwald, Jayavel Shanmugasundaram, Michael J. Carey, Eugene J. Shekita, Hamid Pirahesh, Bruce G. Lindsay, Rimon Barr","Efficiently Publishing Relational Data as XML Documents","2000","VLDB"
"conf/vldb/DeenJNNW00","Shamkant B. Navathe, Erich J. Neuhold, Gio Wiederhold, Anant Jhingran, S. Misbah Deen","A 20/20 Vision of the VLDB-2020?","2000","VLDB"
"conf/vldb/BalminPP00","Thanos Papadimitriou, Andrey Balmin, Yannis Papakonstantinou","Hypothetical Queries in an OLAP Environment","2000","VLDB"
"conf/vldb/PedersenJD00","Curtis E. Dyreson, Torben Bach Pedersen, Christian S. Jensen","The TreeScape System: Reuse of Pre-Computed Aggregates over Irregular OLAP Hierarchies","2000","VLDB"
"conf/vldb/NetzCBF00","Amir Netz, Surajit Chaudhuri, Jeff Bernhardt, Usama M. Fayyad","Integration of Data Mining with Database Technology","2000","VLDB"
"conf/vldb/ChaudhuriG99","Luis Gravano, Surajit Chaudhuri","Evaluating Top-k Selection Queries","1999","VLDB"
"conf/vldb/BrodieC99","Michael L. Brodie, Surajit Chaudhuri","Issues in Network Management in the Next Millennium","1999","VLDB"
"conf/vldb/JagadishLS99","Laks V. S. Lakshmanan, H. V. Jagadish, Divesh Srivastava","What can Hierarchies do for Data Warehouses?","1999","VLDB"
"conf/vldb/GibsonKR98","Prabhakar Raghavan, David Gibson, Jon M. Kleinberg","Clustering Categorical Data: An Approach Based on Dynamical Systems","1998","VLDB"
"conf/vldb/RiedelGF98","Garth A. Gibson, Erik Riedel, Christos Faloutsos","Active Storage for Large-Scale Data Mining and Multimedia","1998","VLDB"
"conf/vldb/RamaswamyMS98","Sridhar Ramaswamy, Sameer Mahajan, Abraham Silberschatz","On the Discovery of Interesting Patterns in Association Rules","1998","VLDB"
"conf/vldb/FlorescuLS98","Daniela Florescu, Dan Suciu, Alon Y. Levy","Is Web-site Management a Database Problem?","1998","VLDB"
"conf/vldb/AshwinRSSS97","S. Sudarshan, Prasan Roy, Abraham Silberschatz, S. Seshadri, Srinivas Ashwin","Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting","1997","VLDB"
"conf/vldb/FaloutsosJS97","Nikolaos Sidiropoulos, Christos Faloutsos, H. V. Jagadish","Recovering Information from Summary Data","1997","VLDB"
"conf/vldb/ChavdaW97","Manoj Chavda, Peter T. Wood","Towards an ODMG-Compliant Visual Object Query Language","1997","VLDB"
"conf/vldb/GardarinGT96","Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser","Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases","1996","VLDB"
"conf/vldb/Suciu96","Dan Suciu","Query Decomposition and View Maintenance for Query Languages for Unstructured Data","1996","VLDB"
"conf/vldb/Mattos96","Nelson Mendon�a Mattos","Supporting Procedural Constructs in SQL Compilers","1996","VLDB"
"conf/vldb/BunemanDHOW95","Susan B. Davidson, Limsoon Wong, Kyle Hart, Peter Buneman, G. Christian Overton","A Data Transformation System for Biological Data Sources","1995","VLDB"
"conf/vldb/LeslieJBY95","Dave Birdsall, Hedieh Yaghmai, Harry Leslie, Rohit Jain","Efficient Search of Multi-Dimensional B-Trees","1995","VLDB"
"conf/vldb/GallersdorferN95","Rainer Gallersd�rfer, Matthias Nicola","Improving Performance in Replicated Databases through Relaxed Coherency","1995","VLDB"
"conf/vldb/Galindo-LegariaPK94","Arjan Pellenkoft, C�sar A. Galindo-Legaria, Martin L. Kersten","Fast, Randomized Join-Order Selection - Why Use Transformations?","1994","VLDB"
"conf/vldb/Lesk94","Michael Lesk","Experiments on Access to Digital Libraries: How can Images and Text be Used Together","1994","VLDB"
"conf/vldb/FerrandinaMZ94","Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari","Implementing Lazy Database Updates for an Object Database System","1994","VLDB"
"conf/vldb/Bernstein94","Philip A. Bernstein","PC Database Systems - Present and Future","1994","VLDB"
"journals/vldb/BerendtS00","Myra Spiliopoulou, Bettina Berendt","Analysis of Navigation Behaviour in Web Sites Integrating Multiple Information Systems","2000","VLDB J."
"journals/vldb/ZezulaSAR98","Fausto Rabitti, Giuseppe Amato, Pavel Zezula, Pasquale Savino","Approximate Similarity Retrieval with M-Trees","1998","VLDB J."
"journals/vldb/BerchtoldKK97","Hans-Peter Kriegel, Stefan Berchtold, Daniel A. Keim","Using Extended Feature Objects for Partial Similarity Retrieval","1997","VLDB J."
"journals/vldb/ShyyASL96","Stanley Y. W. Su, Javier Arroyo, Herman Lam, Yuh-Ming Shyy","The Design and Implementation of K: A High-Level Knowledge-Base Programming Language of OSAM*.KBMS","1996","VLDB J."
"journals/vldb/KemperK95","Alfons Kemper, Donald Kossmann","Adaptable Pointer Swizzling Strategies in Object Bases: Design, Realization, and Quantitative Analysis","1995","VLDB J."
"journals/vldb/Sciore94","Edward Sciore","Versioning and Configuration Management in an Object-Oriented Data Model","1994","VLDB J."
"journals/vldb/FungKL03","Qing Li, Chi-Wai Fung, Kamalakar Karlapalem","Cost-driven vertical class partitioning for methods in object oriented databases","2003","VLDB J."
"journals/vldb/FiebigHKMNSW02","Thorsten Fiebig, Till Westmann, Robert Schiele, Guido Moerkotte, Carl-Christian Kanne, Julia Neumann, Sven Helmer","Anatomy of a native XML base management system","2002","VLDB J."
"journals/vldb/HalkidiNVV03","Benjamin Nguyen, Iraklis Varlamis, Maria Halkidi, Michalis Vazirgiannis","THESUS: Organizing Web document collections based on link semantics","2003","VLDB J."
