"id","author","title","venue"
"conf/sigmod/WuAA01","Amr El Abbadi, Yi-Leh Wu, Divyakant Agrawal","Using the Golden Rule of Sampling for Query Estimation","SIGMOD Conference"
"conf/sigmod/GehrkeKS01","Divesh Srivastava, Flip Korn, Johannes Gehrke","On Computing Correlated Aggregates Over Continual Data Streams","SIGMOD Conference"
"conf/sigmod/AdiBEY01","Tali Yatzkar-Haham, Asaf Adi, David Botzer, Opher Etzion","Monitoring Business Processes through Event Correlation based on Dependency Model","SIGMOD Conference"
"conf/sigmod/Amer-YahiaCLS01","Sihem Amer-Yahia, Divesh Srivastava, Laks V. S. Lakshmanan, SungRan Cho","Minimization of Tree Pattern Queries","SIGMOD Conference"
"conf/sigmod/WhitneyS01","Arthur T. Whitney, Dennis Shasha","Lots o' Ticks: Real-Time High Performance Time Series Queries on Billions of Trades and Quotes","SIGMOD Conference"
"conf/sigmod/KriegelMPS01","Andreas M�ller, Marco P�tke, Thomas Seidl, Hans-Peter Kriegel","Spatial Data Management for Computer Aided Design","SIGMOD Conference"
"conf/sigmod/BabyCY01","Jihwang Yeo, Sudarshan S. Chawathe, Thomas Baby","VQBD: Exploring Semistructured Data","SIGMOD Conference"
"conf/sigmod/CasatiS01","Ming-Chien Shan, Fabio Casati","Models and Languages for Describing and Discovering E-Services","SIGMOD Conference"
"conf/sigmod/Rosenthal01","Arnon Rosenthal","Will Database Researchers Have ANY Role in Data Security? (Panel Abstract)","SIGMOD Conference"
"conf/sigmod/NguyenACP01","Benjamin Nguyen, Serge Abiteboul, Gregory Cobena, Mihai Preda","Monitoring XML Data on the Web","SIGMOD Conference"
"conf/sigmod/CatarciS01","Tiziana Catarci, Giuseppe Santucci","The Prototype of the DARE System","SIGMOD Conference"
"conf/sigmod/ChangC01","Lihyuarn L. Chang, Edward Y. Chang, Tim Cheng","PBIR - Perception-Based Image Retrieval","SIGMOD Conference"
"conf/sigmod/Lomet00","David B. Lomet","High Speed On-line Backup When Using Logical Log Operations","SIGMOD Conference"
"conf/sigmod/LabioWGG00","Hector Garcia-Molina, Vlad Gorelik, Wilburt Labio, Janet L. Wiener","Efficient Resumption of Interrupted Warehouse Loads","SIGMOD Conference"
"conf/sigmod/AggarwalY00","Charu C. Aggarwal, Philip S. Yu","Finding Generalized Projected Clusters In High Dimensional Spaces","SIGMOD Conference"
"conf/sigmod/PalmerF00","Christopher R. Palmer, Christos Faloutsos","Density Biased Sampling: An Improved Method for Data Mining and Clustering","SIGMOD Conference"
"conf/sigmod/ZaharioudakisCLPU00","Roberta Cochrane, Hamid Pirahesh, Monica Urata, Markos Zaharioudakis, George Lapis","Answering Complex SQL Queries Using Automatic Summary Tables","SIGMOD Conference"
"conf/sigmod/CorralMTV00","Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos","Closest Pair Queries in Spatial Databases","SIGMOD Conference"
"conf/sigmod/RoySSB00","S. Sudarshan, Siddhesh Bhobe, S. Seshadri, Prasan Roy","Efficient and Extensible Algorithms for Multi Query Optimization","SIGMOD Conference"
"conf/sigmod/HellersteinA00","Ron Avnur, Joseph M. Hellerstein","Eddies: Continuously Adaptive Query Processing","SIGMOD Conference"
"conf/sigmod/PopaDST00","Val Tannen, Arnaud Sahuguet, Alin Deutsch, Lucian Popa","A Chase Too Far?","SIGMOD Conference"
"conf/sigmod/AgrawalW00","Edward L. Wimmers, Rakesh Agrawal","A Framework for Expressing and Combining Preferences","SIGMOD Conference"
"conf/sigmod/ForlizziGNS00","Markus Schneider, Enrico Nardelli, Luca Forlizzi, Ralf Hartmut G�ting","A Data Model and Data Structures for Moving Objects Databases","SIGMOD Conference"
"conf/sigmod/MoonSL00","Sukho Lee, Bongki Moon, Hyoseop Shin","Adaptive Multi-Stage Distance Join Processing","SIGMOD Conference"
"conf/sigmod/ChoSG00","Narayanan Shivakumar, Junghoo Cho, Hector Garcia-Molina","Finding Replicated Web Collections","SIGMOD Conference"
"conf/sigmod/OhHP00","Kien A. Hua, Jung-Hwan Oh","Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases","SIGMOD Conference"
"conf/sigmod/RamaswamyRS00","Kyuseok Shim, Sridhar Ramaswamy, Rajeev Rastogi","Efficient Algorithms for Mining Outliers from Large Data Sets","SIGMOD Conference"
"conf/sigmod/SzalayGKT00","Alexander S. Szalay, Donald R. Slutz, Ani Thakar, Jim Gray, Peter Z. Kunszt","Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey","SIGMOD Conference"
"conf/sigmod/GunopulosKTD00","Carlotta Domeniconi, Vassilis J. Tsotras, George Kollios, Dimitrios Gunopulos","Approximating Multi-Dimensional Aggregate Range Queries over Real Attributes","SIGMOD Conference"
