"id","label"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9448528>","UNIVERSITY OF ADELAIDE"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9635021>","UNIVERSITY OF FLORIDA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9640751>","UNIVERSITY OF TEHRAN"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9716341>","CHULALONGKORN UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9762715>","UNIVERSITY OF VIRGINIA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10086113>","AN-NAJAH NATIONAL UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10104133>","DAIMLER AG"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10192222>","AUSTRALIAN NATIONAL UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10171341>","UNIVERSITY OF CALGARY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10369282>","UNIVERSITAET DUISBURG-ESSEN"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10336574>","TECHNICAL UNIVERSITY OF DENMARK"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10333574>","NATIONAL TAIWAN UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10326076>","ROBERT BOSCH GMBH"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10314072>","DASSAULT AVIATION SA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10247941>","UNIVERSITY OF BRISTOL"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10213487>","UNIVERSITY OF BRIGHTON"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10168126>","UNIVERSITY OF VIENNA"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10192133>","MONASH UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10073351>","UNIVERSITY OF KONSTANZ"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10051094>","UNIVERSITY OF WARWICK"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9965844>","UNIVERSITY OF DUISBURG-ESSEN"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9939916>","UNIVERSITY OF BRISTOL"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9904291>","TECHNICAL UNIVERSITY OF DENMARK"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9930891>","TECHNICAL UNIVERSITY OF DENMARK"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9870920>","UNIVERSITY OF LAUSANNE"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9815297>","OXFORD BROOKES UNIVERSITY"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9788239>","TECHNICAL UNIVERSITY OF DENMARK"
"<http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9768661>","UNIVERSITY OF VIENNA"
