"id","label"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3251>","ergotamine"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/450096>","gadoxetic acid"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/60714>","GADOTERIDOL"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/72057>","GADOBUTROL"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/477468>","Mycamine"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4436>","naphazoline"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2474>","BUPIVACAINE HYDROCHLORIDE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5394>","Temodar"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5412>","tetracycline"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/7029>","Tenuate"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5379>","Tequin"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/8612>","NESACAINE-MPF"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2215>","APOKYN"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2478>","Myleran"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/59768>","ESMOLOL HYDROCHLORIDE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4011>","maprotiline"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/32797>","TEMOVATE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4771>","PHENTERMINE HYDROCHLORIDE"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/3086672>","MANGAFODIPIR TRISODIUM"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4078>","mesoridazine"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5361912>","MYCOBUTIN"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/65027>","Aptivus"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/5493444>","Tekturna"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/4170>","MYKROX"
"<http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/62816>","COLESTIPOL HYDROCHLORIDE"
