"id","label"
"<http://dbpedia.org/resource/Maprotiline>","Maprotiline"
"<http://dbpedia.org/resource/Clobetasol_propionate>","Clobetasol propionate"
"<http://dbpedia.org/resource/Phentermine>","Phentermine"
"<http://dbpedia.org/resource/Mangafodipir>","Mangafodipir"
"<http://dbpedia.org/resource/Mesoridazine>","Mesoridazine"
"<http://dbpedia.org/resource/Rifabutin>","Rifabutin"
"<http://dbpedia.org/resource/Tipranavir>","Tipranavir"
"<http://dbpedia.org/resource/Aliskiren>","Aliskiren"
"<http://dbpedia.org/resource/Metolazone>","Metolazone"
"<http://dbpedia.org/resource/Colestipol>","Colestipol"
